departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Almaty,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Belgrade,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Bishkek,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Bucharest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Budapest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Dammam,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Kutaisi,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Larnaca,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Madinah,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Male,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Nur-Sultan,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Sofia,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Turkistan,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Varna,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Abu Dhabi,Vienna,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Alicante,Bucharest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Alicante,Budapest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Alicante,Gdansk,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Alicante,Katowice,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Alicante,Rome,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Almaty,Abu Dhabi,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Amman,Budapest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Amman,London,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Amman,Milan,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Amman,Rome,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Amman,Vienna,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Ancona,Tirana,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Antalya,London,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Bucharest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Budapest,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Kutaisi,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Larnaca,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,London,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Tel Aviv,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
Athens,Tirana,2025-04-03T07:00:02,2025-04-06T23:59:59,2025-04-03T07:00:02
