departure_from,departure_to,availability_start,availability_end,data_generated
Abu Dhabi,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Abu Dhabi,Katowice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Abu Dhabi,Krakow,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Abu Dhabi,Larnaca,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Abu Dhabi,Sofia,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Agadir,Katowice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Alicante,Belgrade,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Alicante,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Alicante,Cluj,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Alicante,Milan,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Amman,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Ancona,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Craiova,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Larnaca,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Tel Aviv,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Athens,Venice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bacau,London,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Baku,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Baku,Rome,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Belgrade,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Bratislava,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Cluj,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Katowice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Kutaisi,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Larnaca,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Skopje,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Sofia,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Venice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Barcelona,Warsaw,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bari,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bari,Chisinau,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bari,Craiova,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bari,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bari,Yerevan,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Belgrade,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Krakow,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Nis,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Sibiu,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Skopje,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Sofia,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Timisoara,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Tuzla,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Basel/Mulhouse,Warsaw,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Alicante,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Barcelona,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Berlin,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Dortmund,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Friedrichshafen,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Larnaca,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,London,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Madrid,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Malmo,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Malta,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Memmingen,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Milan,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Nice,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Paris,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Rome,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Belgrade,Stockholm,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bergen,Gdansk,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bergen,Krakow,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Belgrade,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Kutaisi,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Skopje,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Berlin,Varna,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Billund,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Billund,Chisinau,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Billund,Cluj,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Billund,Gdansk,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Billund,Vilnius,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Birmingham,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Birmingham,Budapest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Birmingham,Craiova,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Birmingham,Rome,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Birmingham,Sibiu,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bologna,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bologna,Craiova,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bologna,Tirana,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bologna,Warsaw,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bordeaux,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bordeaux,Rome,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Barcelona,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Malaga,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Plovdiv,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Skopje,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Bratislava,Varna,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
Brussels,Bucharest,2025-11-18T07:00:03,2025-11-21T23:59:59,2025-11-18T07:00:03
